Order_ID,Order_Date,Order_Year,Order_Month,Order_Month_Name,Order_Day,Day_of_Week,Customer_ID,Customer_Name,Customer_Label,City,Region,Membership_Type,Product_ID,Product_Name,Category,Brand,Unit_Price,Quantity,Total_Sales,Sales_Level,Payment_Method,Order_Status
O0051,2026-01-01,2026,1,January,1,Thursday,C008,Sara Ahmed,Sara Ahmed (Premium),Hyderabad,South,Premium,P017,Yoga Mat,Sports,FitLife,899,4,3596,High,Net Banking,Delivered
O0091,2026-01-01,2026,1,January,1,Thursday,C002,Zoya Khan,Zoya Khan (Regular),Delhi,North,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,4999,2,9998,High,Credit Card,Delivered
O0022,2026-01-02,2026,1,January,2,Friday,C023,Nikhil Sood,Nikhil Sood (Premium),Chandigarh,North,Premium,P014,Data Science Handbook,Books,DataPress,899,4,3596,High,Net Banking,Delivered
O0106,2026-01-02,2026,1,January,2,Friday,C001,Aarav Sharma,Aarav Sharma (Premium),Srinagar,North,Premium,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,1,3499,High,Net Banking,Delivered
O0076,2026-01-03,2026,1,January,3,Saturday,C019,Yusuf Dar,Yusuf Dar (New),Srinagar,North,New,P015,Machine Learning Basics,Books,AIPress,999,1,999,Low,Debit Card,Delivered
O0041,2026-01-04,2026,1,January,4,Sunday,C008,Sara Ahmed,Sara Ahmed (Premium),Hyderabad,South,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,5,3495,High,Cash on Delivery,Delivered
O0108,2026-01-04,2026,1,January,4,Sunday,C006,Ishita Gupta,Ishita Gupta (Premium),Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,1,1999,Medium,Net Banking,Delivered
O0018,2026-01-05,2026,1,January,5,Monday,C003,Rohan Mehta,Rohan Mehta (Premium),Mumbai,West,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,4,19996,High,Net Banking,Cancelled
O0104,2026-01-05,2026,1,January,5,Monday,C011,Vivaan Kapoor,Vivaan Kapoor (New),Jaipur,North,New,P006,Hoodie,Clothing,UrbanWear,1599,3,4797,High,Debit Card,Shipped
O0110,2026-01-05,2026,1,January,5,Monday,C007,Aditya Verma,Aditya Verma (Regular),Pune,West,Regular,P005,Power Bank,Electronics,VoltPlus,1199,1,1199,Low,UPI,Delivered
